VERSION 1
1) C
2) C
3) A
4) C
5) A
6) A
7) B
8) A
9) B
10) C
11) E
12) B
13) A
14) D
15) D
16) B
17) D
18) D
19) D
20) B

VERSION 2
1) A
2) B
3) D
4) B
5) B
6) B
7) D
8) C
9) C
10) C
11) D
12) A
13) E
14) A
15) D
16) A
17) B
18) D
19) A
20) C

VERSION 3
1) C
2) B
3) D
4) B
5) A
6) B
7) D
8) E
9) A
10) B
11) A
12) D
13) C
14) C
15) D
16) A
17) B
18) D
19) A
20) C

VERSION 4
1) D
2) C
3) A
4) D
5) B
6) A
7) B
8) D
9) A
10) A
11) D
12) C
13) C
14) B
15) D
16) A
17) C
18) B
19) B
20) E

VERSION 5
1) B
2) A
3) C
4) C
5) A
6) B
7) B
8) A
9) D
10) B
11) E
12) B
13) D
14) D
15) B
16) A
17) B
18) C
19) D
20) E

VERSION 6
1) A
2) D
3) B
4) B
5) C
6) C
7) D
8) B
9) B
10) B
11) A
12) B
13) E
14) E
15) B
16) A
17) D
18) A
19) C
20) D

VERSION 7
1) A
2) A
3) B
4) C
5) B
6) D
7) D
8) B
9) B
10) A
11) B
12) C
13) D
14) B
15) E
16) B
17) D
18) E
19) C
20) A

VERSION 8
1) A
2) E
3) E
4) D
5) A
6) B
7) D
8) B
9) B
10) B
11) C
12) B
13) A
14) A
15) C
16) D
17) B
18) D
19) C
20) B
